id,name,role,dept,level,location,tenure,promo,risk,skills,performance,confidence
"0","Employee 0","Pharmacist (Consultant)","Clinical","Consultant","Bandung","1.2 yrs","2 yrs ago","71","","","50"
"1","Employee 1","Junior Customer Support","Operations","Junior","Jakarta","1.9 yrs","N/A","82","Skill","Good","100"
"2","Employee 2","Pharmacist (General)","Clinical","General","Singapore","2.8 yrs","N/A","59","Skill","Good","100"
"3","Employee 3","Doctor (Consultant)","Clinical","Consultant","Singapore","3.4 yrs","2 yrs ago","63","Skill","Good","100"
"4","Employee 4","Mid Sales Executive","Sales","Mid","Surabaya","0.3 yrs","0 yrs ago","68","","","20"
"5","Employee 5","Junior Customer Support","Operations","Junior","Singapore","4.2 yrs","N/A","71","Skill","Good","100"
"6","Employee 6","Senior Operations Specialist","Operations","Senior","Bandung","4.5 yrs","N/A","82","Skill","Good","100"
"7","Employee 7","Junior Software Engineer","Engineering","Junior","Jakarta","2.3 yrs","N/A","70","Skill","Good","100"
"8","Employee 8","Lead Marketing Specialist","Marketing","Lead","Bandung","1.6 yrs","3 yrs ago","68","Skill","Good","100"
"9","Employee 9","Mid Business Development","Sales","Mid","Singapore","4.8 yrs","2 yrs ago","72","Skill","Good","100"
"10","Employee 10","Mid Accountant","Finance","Mid","Surabaya","0.4 yrs","N/A","68","Skill","Good","100"
"11","Employee 11","Pharmacist (Specialist)","Clinical","Specialist","Bandung","0.8 yrs","N/A","61","Skill","Good","100"
"12","Employee 12","Mid Sales Executive","Sales","Mid","Surabaya","0.1 yrs","N/A","82","Skill","Good","100"
"13","Employee 13","Mid Marketing Specialist","Marketing","Mid","Jakarta","2.4 yrs","N/A","73","Skill","Good","100"
"14","Employee 14","Mid Accountant","Finance","Mid","Bandung","1.2 yrs","N/A","89","Skill","Good","100"
"15","Employee 15","Senior Talent Acquisition","HR","Senior","Singapore","2.1 yrs","N/A","61","","Good","70"
"16","Employee 16","Mid Growth Analyst","Marketing","Mid","Bandung","2.3 yrs","N/A","67","","Good","40"
"17","Employee 17","Junior Data Scientist","Data","Junior","Bandung","1.2 yrs","3 yrs ago","88","Skill","Good","100"
"18","Employee 18","Senior Software Engineer","Engineering","Senior","Jakarta","4.9 yrs","1 yrs ago","75","Skill","Good","100"
"19","Employee 19","Junior BI Analyst","Data","Junior","Surabaya","5.9 yrs","N/A","64","Skill","Good","100"
"20","Employee 20","Pharmacist (General)","Clinical","General","Surabaya","4.8 yrs","N/A","58","","Good","70"
"21","Employee 21","Mid Customer Support","Operations","Mid","Surabaya","3.0 yrs","N/A","53","Skill","Good","100"
"22","Employee 22","Senior Software Engineer","Engineering","Senior","Surabaya","2.3 yrs","N/A","82","Skill","Good","100"
"23","Employee 23","Pharmacist (Consultant)","Clinical","Consultant","Jakarta","1.3 yrs","N/A","68","Skill","Good","100"
"24","Employee 24","Senior BI Analyst","Data","Senior","Jakarta","2.3 yrs","N/A","64","Skill","Good","100"
"25","Employee 25","Lead Business Development","Sales","Lead","Singapore","0.3 yrs","1 yrs ago","74","Skill","Good","100"
"26","Employee 26","Nurse (Specialist)","Clinical","Specialist","Singapore","5.3 yrs","1 yrs ago","69","Skill","","50"
"27","Employee 27","Mid Account Manager","Sales","Mid","Surabaya","3.5 yrs","0 yrs ago","80","Skill","Good","100"
"28","Employee 28","Mid Frontend Engineer","Engineering","Mid","Jakarta","5.9 yrs","1 yrs ago","63","Skill","Good","100"
"29","Employee 29","Mid Admin Officer","Operations","Mid","Bandung","5.6 yrs","3 yrs ago","79","Skill","","80"
"30","Employee 30","Nurse (General)","Clinical","General","Bandung","4.3 yrs","N/A","67","Skill","Good","100"
"31","Employee 31","Mid Backend Engineer","Engineering","Mid","Singapore","1.6 yrs","N/A","76","Skill","Good","100"
"32","Employee 32","Junior Talent Acquisition","HR","Junior","Surabaya","3.6 yrs","N/A","55","Skill","Good","100"
"33","Employee 33","Junior Operations Specialist","Operations","Junior","Bandung","5.1 yrs","0 yrs ago","81","Skill","Good","100"
"34","Employee 34","Junior Sales Executive","Sales","Junior","Bandung","1.6 yrs","0 yrs ago","52","Skill","Good","70"
"35","Employee 35","Senior Backend Engineer","Engineering","Senior","Singapore","1.7 yrs","1 yrs ago","71","Skill","Good","100"
"36","Employee 36","Mid Data Analyst","Data","Mid","Surabaya","1.6 yrs","1 yrs ago","69","Skill","Good","100"
"37","Employee 37","Senior Growth Analyst","Marketing","Senior","Singapore","2.6 yrs","N/A","62","Skill","Good","100"
"38","Employee 38","Lead Talent Acquisition","HR","Lead","Singapore","3.8 yrs","0 yrs ago","87","Skill","Good","100"
